sentiment,review_body,product_category
-1,I had to return this blouse because it ended up been too small and super itchy. im kind of busty but medium usually works and this one was super tight across my chest. not comfortable at all and the fabric is kind of a sheer with the sparkly lines in silver. wouldn't recommend it.,Blouses
-1,"Absolutely loved this top but after i washed it the underside color ran at the stitching. it is all white on the outside but at the bottom hem it has a really cool 1"" lining in a mustard color. i did a cold water wash and flat to dry. i noticed around the stitching at the bottom the mustard color has bled through just at the area of the mustard color stitching.     i am so disappointed b/c i loved this top.",Blouses
-1,I liked this top okay but i did not think it was worth full price. i thought it was only average.,Blouses
-1,I love this shirt  love love love it. i am a curvy girl and it accents all the right features and hides the ones that need to be hidden. but i've owned it for 6 months and there are already 4 holes in the shirt. and not holes in the fabric but holes on the seam lines. the stitching is not sturdy enough for the shirt to not fall apart. the whole point is to be able to wear it. but now i have to bust out my sewing machine to reinforce the seams that split so that i can wear it again. :(,Blouses
-1,Wanted to like this type. cute print. something about the width and length of this top didn't work on me. was a little boxy. i'm 5'4  135lbs  size xs-s. might be cuter on different body type  i'm hourglass and athletic.,Blouses
-1,There's a reason the model is holding her arms up in all the frontal views. it hides the very weird wide top part of the sleeve that absolutely destroys and distorts an otherwise beautiful blouse. the print is lovely but the fit is very odd. it's pulls at and is very tight through the bust too. i wear medium or large and ordered size large. if you're less well endowed this might be an okay choice for you. but i have to say this blouse made me look overweight and very wide. returned.,Blouses
-1,Looks lovely in the picture but looks poorly made in person  runs very small. i returned it.,Blouses
-1,I was disappointed in this shirt. the color was not the pretty blue pictured  but rather a grayish blue which may look good on a brunette  but not on a blonde. the fabric felt like linen and wrinkled easily. normally  the quality of the fabric is one of my main reasons to buy holding horses  but this one felt cheap. the detail and craftsmanship was beautiful  and i wish this shirt would have worked for me. i waited for it to go on sale and was very excited to receive it. holding horses is one of,Blouses
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
0,Pretty tank  embroidered flowers just as pictured. slightly see through so that a cami would be a must. for the price  should be more of a show stopper...unfortunately just average.,Blouses
0,"I expected the waist to be cinched like it appears on the model but it isn't. i ordered the xs and i'm swimming in it (i'm 5'4"" and 120 lb). would suggest ordering a few sizes down to avoid looking like you're wrapped in grandma's table runner.",Blouses
0,Just a warning. i am always a 6 or 8 and even the 8 was so tight in the waist i could barely out this on. if you don't have a super tiny upper waist  this won't fit well. too bad  because it's super cute  if a bit sheer.,Blouses
0,I wanted to love this top to go with a pair of red flats i also bought at retailer. but it's almost like a peplum crop top because the cut is short. the peplum piece also flares out rather dramatically. had to return it even though i love other tops from maeve.,Blouses
0,It's hard enough for women to find clothing that will make them look as beautiful as they feel but add a bigger bust size (i'm a 36dd) and it makes it this much harder. i ordered this top because of how beautiful it looked on the model and the price. when it arrived i was so excited! retailer does such a beautiful job with the way they handle their items! it was wrapped beautiful and no damage. i ordered a size 8 knowing that my chest could be a potential problem. the too itself is gorgeous! i did,Blouses
0,I really wanted this top to work but i felt that it was big and boxy. it's shorter in the front and longer in the back. the seam and peplum hit at a strange place and made me look disheveled. it's definitely worth trying on  but didn't fit me.,Blouses
0,I'm 5'7  125lbs  and the small fits perfectly. the sleeves are the right length (i have long arms and legs)  and the body fits loosely  without looking sloppy. at my height  the small is not long enough to wear as a tunic  which is fine.    unfortunately  the shirt arrived with makeup stains around the laces and the inside of the shirt  so i had to wash it before wearing it.    i only purchased this shirt because it was on sale.,Blouses
0,I ordered this in an xs  which is my normal size in retailer tops. the stitching and detail on the straps is beautiful  but they were also somewhat tight across my bust and across my back. it puckered in a strange way that wasn't flattering. back it goes  unfortunately.,Blouses
0,This shirt has a vibrant color and beautiful neck line  but unfortunately i had to send it back. it is short waisted with a lot of material in the back. had it been 1-2 inches longer it may flare out  but based on the length on me  it ended up looking like a shrunken tent. for reference  i am 5'8 with a long torso.,Blouses
1,I ordered both colors in size xl and they're each now favorite purchases. the fit is true to size--it matches the photos. the orange/white/brown/red combo works great with the orange version of the indra tassel necklace.  the tops are sheer so i wear a tank underneath. the green floral version will have some variations because of pattern placement. both are so unique & charming! i've been pairing them with different retailer cardigans & necklaces. they've washed well too--in a mesh bag on gentle &,Blouses
1,I have been on the fence about this blouse until i went into the store and tried it on. instant love for me. the fabric is not sheer.....yeah! the shoulders are cut in  so you may need a halter bra. i typically go between a 4 or 6  but found the cut at a a line so there is a nice flow  but not overly so  so purchased the 4. the colors will go with anything  for many seasons. love the quality.,Blouses
1,I love this top! was not immediately in love with it when i saw it on line but when i saw it in store the other day and got to try it on i fell in love!! the colors at a little deeper in person  which i loved! it is a traditional soft flannel top! it is fitted and flattering! a must have for fall/winter!!,Blouses
1,I ordered this top in my usual size and am exchanging it for one size smaller.  it runs very generous  and so the sizing is a little off.  the style and quality are beautiful  so i am anxious to receive the smaller size.,Blouses
1,Lightweight silk with sweet details (ruffles) fits comfortably and nice for workplace with suit or more casual.,Blouses
1,I bought this blouse in plum. it is very beautiful  and is a gorgeous color for fall. since i bought this in-person i decided to try it on. i am normally an x-small in retailer blouses. i tried on the x-small  and although it did fit  there isn't much room. this could be a problem for women who are bustier and fuller in the chest and arm area.,Blouses
1,This top is beautiful  really special. i am a 32dd and this type of flowy top sometimes doesn't work for me but this one is fine. looks great with skinny jeans and boots or flats.,Blouses
1,I purchased my normal size small. i loved the colors in the purple which are more blue and vibrant red to me. this top is a nice soft fabric. it will pair nice with denim jeans.,Blouses
1,I'm not sure how i feel about this shirt. i love the fabric  which is soft  lightweight  and richly colored. the polka dot trim is quirky and fun  and i like the idea of the twisted hem. the cut is generous in width  for sure; i ended up ordering a small because i swam in my usual medium-to-large sizes  but the length of the small barely works. the sleeves are juuuust long enough  and the shirt hits me just at the hip  not nearly as far down as the model shots show. it may be because i'm busty a,Blouses
-1,I wanted to love this dress. the cut  fit and color are adorable. unfortunately the fabric is super thin. due to the material type it can be clingy in a manner that requires the anti-static spray your mom used to use in the 80s. i was on the fence of keeping it  but if there is so much as a wrinkle in your panty-line the whole world will see it. i would hate to have to wear a slip with this due to static issue. i am most likely going to return it; even at 15% off  it is over-priced for the cheap,Dresses
-1,I loved the idea of this dress and was hoping it would be worth the astronomical price tag for what really is a cotton jersey dress. unfortunately  this dress missed the mark. in the pictures this dress looks like the fabrics are navy blue and some sort of white. well  it is not white or whitish at all but baby pink! bright baby pink! even the light pattern on the navy background is actually pink. huge disappointment. my other issue is with the length of this dress. the description says that the,Dresses
-1,I purchased the blue with white dots. the shape was awful  but looked like a sack - returned,Dresses
-1,Quality was not what you expect from retailer  especially for the price. top is lined but skirt is not. material is tissue paper thin and see thru. there is a point at the bottom of the sweetheart neckline that does not lay flat  it keeps popping up. however the back is very cute and for that i wanted to love it but too many negatives. was returned.,Dresses
-1,"I love retailer and fell in love as soon as i saw this dress online. being 5'10"" i love a quality maxi dress and this one did not disappoint. however  being 5'10"" also means the top sweater overlay hits me way short. it looks ridiculous. i also thought that this was very heavy for a maxi dress and could not imagine wearing it in 80 degree weather. unfortunately after waiting so long for it's arrival this is going back.",Dresses
-1,I really wanted to like this dress. the color is perfect  the design and cut are cut (not always the case at retailer). however  the fabric quality was terrible - a shiny acrylic with cheap nylon lace. it looked like something from a discount store and had to go back.,Dresses
-1,I recently bought this dress and wore it once. i really liked it! it was comfy  cute and fit well. but... then i washed it. i followed the washing instructions exactly  but now it looks more like a shirt than a dress and it's completely unwearable. i'm super disappointed because i thought this dress would be a wardrobe staple this summer.,Dresses
-1,I thought this dress looked gorgeous on the model. so floaty and light. when it came  i found it to be the exact opposite. the hem is so heavy and laid on me like a potato sack. it had way too much material at the bottom and weighed me down unfortunately.,Dresses
-1,I was looking for a dress for playing cello at my friend's wedding. the colors looked perfect  the cut was great  etc. very disappointed to find out how sparkly and scratchy the dress was in person  and sad that the slit came right to my knee  which is a really weird height. sadly returning - might purchase again if it goes on sale and i can't find anything better before the wedding :(,Dresses
0,"I'm 5'6""  34b/32c  apprx 125#  & lift weights so i have bigger/muscular lats  back  arms. my lower half i wear sz 25 mother  ag  or 7 mankind jeans  but upper is more med (4-6 sz). hips apprx 35""  waist 28"". my tops: i don't like things tight. i ordered medium  top fits perfect  but waist/hips i have take in as more like a rigid/stiff  gunny sax cottony type fabric  not super light chiffon as photos appear. the under lining super short in front and top of calf in back  but lining follows the she",Dresses
0,I wanted this dress so bad for a trip to hawaii. i sized up when i saw the side zip because i'm a little larger in the top than bottom  but whoa... even when sizing up  i think i would have needed to size up like 3x to get this to work. the dress is adorable  and if you have a smaller bust  it will work for you... so sad it wouldn't work for me.,Dresses
0,The model makes this dress look amazing  but it didn't translate that way on me. the print is really beautiful  i loved that  but the waist is huge and the skirt part is a-line and full  not streamlined like it looks on the model. if it was more like that this dress would be a hit. but  sadly  it's a miss. this is something your mom would love on you  but few others.,Dresses
0,"I was obsessed with this dress from the moment i saw it online and was so excited to buy it for my company christmas party. i'm 5'4""  36c  145lbs and i ordered a 6. the size was great but the whole cut of the dress was completely off for me. i have a fairly short torso but the top portion of the dress (which is a sweater-like material) hit me far too low on my waist to be flattering; the petite may have fixed it  but then the skirt would've been too short. the pleats were cute but flared out too",Dresses
0,I was hoping to wear this dress for an engagement photoshoot but it fit terribly. i'm 5'0  98 lbs  32a  and have some hips/butt. this dress (ordered xxs petite) hugged my hip/butt region tightly  which made the dress ride up and balloon out around my stomach and back. there was also too much extra room in the chest  so sizing up was out of the question. there is just way too much fabric and it's very stiff with no drape or shape whatsoever. i felt like i was wearing a cardboard box. the sleeves,Dresses
0,I purchased this for a very good price and i typically love maeve... should have been a win-win. the fabric is thin and slinky in the most unfortunate way. it made finding appropriate undergarments very difficult. i had to add a slip (that helped) and figured that since i'm losing weight  it would look better when i'm down a few more pounds. that being said  i didn't find it to be figure flattering. i have a tummy and there was at least one photo from the bridal shower i wore this to  where i lo,Dresses
0,While the cut  drape  and shape of this dress are very attractive  seeing the fabric in person was disappointing to me. it's clearly well-made and there are abundant high-quality details. however  the combination of a large-ish pattern and the wrinkly  thin cotton still felt kind of limp and cheap. i sent it back.,Dresses
0,I'm 4'10 and 105lbs..32c and hippy...i ordered the 00p and 0p.. bc i'm curvy the bigger size was better but the fit was just okay..couldn't justify the price. it's a beautiful dress in the green color. the zipper is difficult to get down and worries me that it would break.. but if it fit i would've overlooked it.. the major reason for returning is the slit was so high my butt cheeks were exposed if you lifted it... i would've had to have it sewn shut.,Dresses
0,I thought this dress was very cute on the model  however it was way too tight across the chest for me. going up a size would mean it would be too roomy everywhere else. also  fabric wasn't great.,Dresses
1,I was not impressed with this dress online but when i tried it on at the store i fell in love. it's a great summer / fall dress. i love the sweater top and linen bottom. so many compliments on it!,Dresses
1,What?! i can't believe this got so many mixed reviews! i wasn't sure what to expect and now that i've received it  i think it's absolutely perfect. it's flattering  the length is great  it's tts  and the color is beautiful. i have no issues with the skirt whatsoever either.  i'm really pleased with this purchase and i can't wait to wear it.,Dresses
1,The fabric is very light weight  more of a shirting material.  this surprised me because the dark flowers almost looked like flocked velvet in the picture.  the flowers are actually printed on cotton that has woven stripes.  it is so soft and light!  there is also a little webbing detail in the front yoke but nothing shows because there is a simple sewn in lining.  the skirt is not lined but the hem is weighted with a trim so that the skirt will hang right.  very flattering.  it does run big tho,Dresses
1,Ordered this dress and still haven't recieved it  but went to my local store today and tried it on in the size i ordered. it was too big. and now i can't get it in my size. so that stinks! quality was good and the dress was comfortable with stretch. i know in going to have to return it once it comes!,Dresses
1,I am 5'8 and 220lbs (extremely muscular) i ordered a size large and it hangs very nicely over my curves  the neckline looks pretty good with my broad shoulder  and the dress comes about 4 inches above my knee. i think people with curves would really like this dress but it does lack shape so beware if you're looking for something with some structure. the blue is gorgeous and the fringe details are very cute. this dress does seem to run a bit big.,Dresses
1,"I am 5'3"" and 115 lbs. i ordered 2 on a whim and i'm so happy i did because they're so flattering.",Dresses
1,Soft  comfortable  flattering - great for spring  summer  fall  and wear a tight black long-sleeved tee underneath for winter! not form-fitting  even if you size down.,Dresses
1,"I'm 5'10""  140lbs and this dress fits exactly like shown on the model. hits right above my knees in front and an inch or so below my knees in the back. i didn't find it to be too blousey at all. i'm more pear shaped so i like that this is flowey around my hips and bum. purchased a size 6 and it fits well over my chest and arms. if you're busty or have muscular arms i can see how this might feel more restrictive. great staple to my wardrobe!",Dresses
1,This dress was returned to our store and i was intrigued the second i saw it. the dress is definitely oversized. so much so that you could probably size down a size or two. but what i love about this dress is the style. its meant to be oversized...and with the print  the asymmetric cut and the oversized look...its very unique! the color is exactly as it appears and the material is wonderful. thin but soft and comfortable...really easy to wear! you could do this as a dress  or with leggings and b,Dresses
-1,I ordered this in size xl in ivory. it was a drab  poorly-made  too-small sweater. the knit material wasn't good quality and the overall fit didn't work. i liked the light red color and maybe if that had been in stock  then i would have overlooked the problems. but  there are better ivory retailer cardigans available. this was returned.,Fine gauge
-1,I was really excited about this sweater  but the fit was terrible. the sleeves were the right size  but the body of the sweater was a tent - absolutely no shape. they must have clipped the sweater on the model. for reference  i'm 5'4 and 120 pounds and ordered a size small.,Fine gauge
-1,The photo misrepresents how large this sweater is. it is giant! petite ladies stay away from this sweater. i ordered an xs and usually can manage to fit in a regular xs  but this just floored me. the neckline wouldn't even stay up on my upper body  it was that loose. also the width of the sweater does not at all hug the body as shows on the model. it is like a tent. i'm so bummed. the color blue is nice and the sweater is really soft. it's too bad it doesn't fit smaller women.,Fine gauge
-1,So sad becuase i like the design. i would not recomend the lack to anyone that does not live and work and shop in a completely immaculate environment. i wore this to work the day after purchasing and within three hours i honestly looked like i had slept in this sweater for three monthe straight. i had to take the sweater off and work in a t-shirt.   the marigold color may be better than the black abut showing lint but something intrinsic to the fabric really attracts lint like nothing i have eve,Fine gauge
-1,I loved the way it looks on. fit tts. only problem for me was it was so itchy. there is that small amt. of wool in it. if you have any problem with wool this may not work for you,Fine gauge
-1,The sweater was nice but not as long as on the model. it was itchy also. this sweater was not what i had expected. their was nothing exceptional about it to spend that kind of hard earned cash  sorry retailer. i sent it back .,Fine gauge
-1,Note the sleeves on the model. that is how your regular size will fit your arms. however  even if you have skinny arms like i do  the sleeves will be tight. i bought my regular size xs and it was clingy with an odd flair and the length seems as though i ordered a petite and i am only 5 ft 2 in. i advise to try a few sizes on if you really are interested. the red is truly a red which is a good thing because so often it is hard to find a red that is not neon.,Fine gauge
-1,I thought it would be heavier than it is. it's thin and more delicate than what i would expect for a winter sweater (it contains wool so not really suitable for spring/summer). it's also shorter than it appears on the model and a little wider/boxier too.,Fine gauge
-1,This sweater is very long  could be worn as a dress at 5'3 !,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,I love the looks of this sweater on the model! after receiving it  it was still very pretty and stylish to look at. my problem is that i am petite  and the sweater seemed to run very large. it wasn't very fitted. i think the detailing in the back would look better fitted. it made me look rather dowdy and/or matronly unlike how it looks on the model. i think that was because it was just too big. i returned it.,Fine gauge
0,I have a mixed feeling about this cardigan.  on one hand  i like it; on the other hand  there are some minor things i do not like.  first  i love its knit pattern; especially the pattern on the back.  second  i like a soft color of this cardigan.  on website pictures  two motifs look almost the same.  in reality  brown motif is light pink-ish while blue motif is light blue-green-ish.  third  texture.  this cardigan is made of linen and cotton  so it feels comfortable to wear.  if there are flaws,Fine gauge
0,I am returning. i really liked the appearance in the photo and i love aqua  but the biggest problem for me is the shape. it's pretty boxy and it's hard to tell from the photo  but it has a batwing shape. i also wish the lighter portion were more ivory (less yellow in it)  but that's based on what looks better against my skin tone. i found it to run true to size  but i thought it was unflattering (made me look wide).,Fine gauge
0,"This is a very lightweight  comfy sweater jacket. i wanted to love but didn't find it ""special"" enough for the price. i am usually between a small and medium and tried on both sizes in the gray and the navy. the small fit snug in the shoulder but i liked how the layering showed at the bottom of the front. that look was lost on the medium  though the general fit was better. in the end  the looked medium too sloppy for my taste  and the small felt too small.",Fine gauge
0,Very pretty and has potential. only down side - i thought it was more like a cardigan with sleeves but it's really more of a shawl and the photos and descriptions are misleading,Fine gauge
0,I was so excited to receive this sweater in the mail since my local store didn't carry it. it is a very cute design if you have a smaller frame but i'm curly up top and it didn't lay they way it did on the model. there's plenty of stretch. unfortunately the fabric sheds and itches terribly. you could wear a shirt underneath but i'd have to wear a turtleneck so it'll be going back.,Fine gauge
0,This is a darling little sweater. it is well made and the fit is true to size  however  it's just not long enough on me to be a top  which is what i was hoping for.  i thought it would be pretty with some high waisted trousers in a sort of 40's style but it's way to short on me for that. even with my highest waisted pants and skirts  it shows skin.  i think it can really only be worn as a shrug over a dress or something.  that explains why the model looks hunched over in some photos.  i'm still,Fine gauge
1,This top looks just like you see it on the website - design is super cool and color is awesome  almost acid washed in areas. but know that this top is super  super thin and will not provide any warmth. i wish it were a bit thicker in fabric  it would have been perfect for the cool fall and going into winter especially for the price. the medium in this one fit me better than the small. i am 5'9 and 140 lbs.,Fine gauge
1,The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags  it washed well.,Fine gauge
1,"This sweet little number in the mustard yellow has become my fall and winter ""go-to"" sweater. so easy to wear  understated and a bit retro. looks great tucked into skirts or high-waisted jeans  or out  and the subtle shift in textures is a nice detail. highly recommend  and a great price point!",Fine gauge
1,Tts. i'm wearing a small. the black goes with so many of my charlie print pants. washed nicely. layers flat to dry. had to iron the shell underneath. great for casual office.,Fine gauge
1,Wow great soft feels great but not too clingy. only thing keeping from 5 start is that it will pill some. the sleeves are not fuzzy so they don't pill but body will/does.,Fine gauge
1,Beautiful sweater  very delicate fabric  unique design  but it runs very small. i usually wear a m  but ordered a large based on the previous review hoping that would do the trick. the sizing  along with being long waisted isn't a good combination. unfortunately  i'm returning the sweater.,Fine gauge
1,I just purchased this cardigan  it is better in person than the picture. the fit is fabulous  it is very versatile. it can be worn with many different options  definitively be wearing often.,Fine gauge
1,This is a richly detailed top that i bought to go with some nice skirts. the length hits right at the waist so it won't overlap a special skirt at the waist and create extra bulk. it is lined with a flesh colored mesh layer in the white color (you can see this layer in the photos but i wasn't sure if it was part of the piece or a camisole the model was wearing). however  it is still somewhat transparent so you would want to wear it with a flesh-colored bra or cami. overall  i am very happy with,Fine gauge
1,Love this--the chunky ribs  the retro striping  the conservative neckline. all of it. comfy  casual 70's-on-the-slopes vibe. leaving the house in it today wich maroon cords and chunky boots. so cute!,Fine gauge
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
1,These undergarments are comfortable  streamlined  and well made. this bra holds up well without wires. i am a 34b and wear a small. it is a bit tight at first  but form fits after one wear. . after trying one bra and i ordered 4 more. then i researched the brand and bought camis to match. i love how all the colors and styles are interchangeable.,Intimates
1,I am so happy with this chemise! the pink is the most breathtaking blush and the fabric is super soft. i like that the straps are adjustable  allowing me to make the bodice a perfect fit while adjusting the gown to the perfect length for me. it's definitely my new favorite!,Intimates
1,Cute layered cami. great colors for summer or fall. very light fabric  tends to get a bit staticy. shorter in the back than expected but a good versatile top,Intimates
1,Hi ladies   does this bra take a contortionist to put it on the first time? yes. did my boyfriend laugh at me hysterically while i tried to get it over the girls? yes. however  i am a large chested girl 34d  i bought the large and this is honestly the absolute best  most comfortable  amazing  non hurting/poking best strapless bra i have ever owned. i just bought three more  just in case the first two wear out. i love this  i love how far it comes down on the sides  i love that it doesn't slip do,Intimates
1,I got these pretty boy shorts because i was looking for a panty that was comfy for bedtime--pretty but with a fair amount of coverage. i am really happy with them. wonderful with a tank top or chemise. i think the ruffles are a bit bulky for skinny jeans  but i love them for sleeping. they feel special.,Intimates
1,This bra is beautiful. the lace is so lovely and soft and looks fabulous on. my only criticism is it runs very small. i am a 32 a and order the size 1 and it is snug... just order a size up (or two) and it should be perfect.,Intimates
1,I guess this is a true to size  i am usually a 30dd and ordered 32d  fits great. the back is really pretty  so even though it is a tiny bit looser  i decided to keep it...,Intimates
1,Soft fabric  waistband is flat no vpl!lace trim cuts in a bit for a little vpl- but still nice lightweight  barely there but full coverage. would buy again!,Intimates
1,This is so beautiful! i loved it online  but it's even prettier in person. it's a little greener than it appears in the photo. the straps are actually a green rather than white. i'm 5' 6'' 123 lbs and the xs fits perfectly. worth the money!,Intimates
-1,"I know this product description says oversized but that's an understatement. i ordered a small and tried it on and i looked like a little kid in their father's jacket. i don't even think an xs would have worked. i'm 5'6"" and about 135 pounds for reference. i will say that the embroidery on the back is very cool and this jacket is overall a cool concept but it's just way too big.",Jackets
-1,This is a cute item at a good price point  though the lack of lining in cartonnier items drives me batty. unfortunately  the wool is so itchy i could not tolerate it more than a second.,Jackets
